USA_Slope,HeatLoad,Cons_LITH,Rad_sm,B_TD,MCMT,MAP,PRATIO,DEP2RES,aws0_100,soc0_5,QMD,RC_PROP,WH_PROP,GF_PROP,LP_PROP,WL_PROP,DF_PROP,PP_PROP,W_ShadeTol,W_DroughtTol
6.0,1051.0,Extrusive,253.0,19.0,-1.6,624.0,0.2564,201.0,15.0,32.0,9,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.78,2.62
8.0,1040.0,Extrusive,253.0,19.0,-1.6,624.0,0.2564,201.0,15.0,32.0,9,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.78,2.62
11.0,963.0,Extrusive,253.0,19.0,-1.8,673.0,0.2511,201.0,15.0,32.0,9,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.78,2.62
10.0,976.0,Extrusive,253.0,19.0,-1.8,673.0,0.2511,201.0,15.0,32.0,9,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.78,2.62
10.0,1040.0,Extrusive,256.0,19.0,-1.6,624.0,0.2564,201.0,15.0,32.0,9,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.78,2.62
7.0,1061.0,Extrusive,256.0,19.0,-1.6,624.0,0.2564,201.0,15.0,32.0,9,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.78,2.62
4.0,1078.0,Extrusive,256.0,19.0,-1.6,624.0,0.2564,201.0,7.0,2.0,9,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.78,2.62
3.0,1079.0,Extrusive,256.0,19.0,-1.6,624.0,0.2564,33.0,7.0,2.0,9,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.78,2.62
3.0,1080.0,Extrusive,256.0,19.0,-1.6,624.0,0.2564,33.0,7.0,2.0,9,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.78,2.62
3.0,1093.0,Extrusive,256.0,19.0,-1.6,624.0,0.2564,33.0,7.0,2.0,9,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.78,2.62
7.0,1085.0,Extrusive,256.0,19.0,-1.6,624.0,0.2564,33.0,7.0,2.0,9,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.78,2.62
7.0,1080.0,Extrusive,253.0,19.0,-1.6,624.0,0.2564,33.0,7.0,32.0,9,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.78,2.62
6.0,1070.0,Extrusive,253.0,19.0,-1.6,624.0,0.2564,33.0,15.0,32.0,9,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.78,2.62
5.0,1062.0,Extrusive,253.0,19.0,-1.6,624.0,0.2564,201.0,15.0,32.0,9,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.78,2.62
5.0,1055.0,Extrusive,253.0,19.0,-1.6,624.0,0.2564,201.0,15.0,32.0,9,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.78,2.62
6.0,1050.0,Extrusive,253.0,19.0,-1.6,624.0,0.2564,201.0,15.0,32.0,9,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.78,2.62
6.0,1047.0,Extrusive,253.0,19.0,-1.6,624.0,0.2564,201.0,15.0,32.0,9,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.78,2.62
9.0,1028.0,Extrusive,253.0,19.0,-1.6,624.0,0.2564,201.0,15.0,32.0,9,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.78,2.62
10.0,966.0,Extrusive,253.0,19.0,-1.8,673.0,0.2511,201.0,15.0,32.0,9,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.78,2.62
10.0,976.0,Extrusive,253.0,19.0,-1.8,673.0,0.2511,201.0,15.0,32.0,9,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.78,2.62
10.0,982.0,Extrusive,253.0,19.0,-1.8,673.0,0.2511,201.0,11.0,35.0,9,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.78,2.62
15.0,962.0,Extrusive,253.0,19.0,-1.8,673.0,0.2511,201.0,11.0,35.0,9,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.78,2.62
17.0,959.0,Sedimentary,253.0,19.0,-1.8,673.0,0.2511,201.0,11.0,35.0,9,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.78,2.62
21.0,946.0,Sedimentary,253.0,19.0,-1.8,673.0,0.2511,201.0,11.0,35.0,9,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.78,2.62
12.0,1038.0,Extrusive,257.0,19.0,-1.6,624.0,0.2564,201.0,15.0,32.0,9,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.78,2.62
